customer_id,country,signup_date,device_type
C00001,Tunisia,2026-06-13,iOS
C00002,France,2026-03-12,iOS
C00003,Tunisia,2026-02-05,Web
C00004,Tunisia,2026-05-20,Web
C00005,Tunisia,2026-04-19,iOS
C00006,France,2026-01-24,iOS
C00007,Italy,2026-05-10,iOS
C00008,France,2026-05-24,Web
C00009,Italy,2026-06-16,Android
C00010,United Kingdom,2026-02-26,Web
C00011,Tunisia,2026-03-13,iOS
C00012,United Kingdom,2026-06-28,Android
C00013,France,2026-03-13,iOS
C00014,Tunisia,2026-03-28,iOS
C00015,Tunisia,2026-04-08,Android
C00016,Italy,2026-03-30,Android
C00017,United Kingdom,2026-01-12,Web
C00018,United Kingdom,2026-02-01,iOS
C00019,Germany,2026-05-22,Web
C00020,Germany,2026-06-08,Web
C00021,Tunisia,2026-02-19,iOS
C00022,France,2026-06-19,Android
C00023,France,2026-01-21,iOS
C00024,Germany,2026-04-08,Android
C00025,Germany,2026-06-12,iOS
C00026,Germany,2026-04-05,iOS
C00027,Germany,2026-06-21,Web
C00028,Tunisia,2026-06-24,Web
C00029,France,2026-06-12,Web
C00030,France,2026-03-04,Android
C00031,Germany,2026-04-08,Web
C00032,Italy,2026-06-26,iOS
C00033,Germany,2026-06-25,iOS
C00034,Tunisia,2026-02-28,Android
C00035,Germany,2026-04-13,iOS
C00036,Italy,2026-02-24,Web
C00037,France,2026-03-22,Web
C00038,United Kingdom,2026-05-08,Web
C00039,France,2026-04-28,Android
C00040,France,2026-02-05,Web
C00041,Italy,2026-05-24,Android
C00042,United Kingdom,2026-05-30,Web
C00043,Germany,2026-04-13,iOS
C00044,Italy,2026-02-05,Android
C00045,Tunisia,2026-01-24,iOS
C00046,France,2026-02-09,Web
C00047,Italy,2026-04-19,iOS
C00048,United Kingdom,2026-04-09,Web
C00049,Italy,2026-04-30,Android
C00050,Tunisia,2026-05-22,Web
C00051,Italy,2026-01-30,Android
C00052,Germany,2026-06-14,iOS
C00053,United Kingdom,2026-03-17,iOS
C00054,Tunisia,2026-04-27,Web
C00055,Italy,2026-03-09,iOS
C00056,Tunisia,2026-05-10,Web
C00057,Italy,2026-03-18,Web
C00058,France,2026-02-20,Android
C00059,Italy,2026-02-11,Web
C00060,Italy,2026-01-01,Android
C00061,Tunisia,2026-05-06,iOS
C00062,Germany,2026-04-03,iOS
C00063,France,2026-01-15,Web
C00064,Tunisia,2026-01-21,Web
C00065,Tunisia,2026-05-05,Web
C00066,France,2026-02-02,Web
C00067,Italy,2026-05-02,iOS
C00068,Italy,2026-03-09,Web
C00069,France,2026-04-19,Web
C00070,France,2026-06-26,Web
C00071,United Kingdom,2026-03-21,Web
C00072,Germany,2026-06-16,Android
C00073,United Kingdom,2026-05-13,iOS
C00074,France,2026-03-05,iOS
C00075,Tunisia,2026-03-28,Web
C00076,France,2026-05-22,Web
C00077,Tunisia,2026-02-26,iOS
C00078,Tunisia,2026-06-11,iOS
C00079,Tunisia,2026-01-18,Android
C00080,Italy,2026-01-19,iOS
C00081,United Kingdom,2026-03-13,iOS
C00082,France,2026-05-19,Web
C00083,Italy,2026-05-27,Android
C00084,United Kingdom,2026-03-04,Android
C00085,Tunisia,2026-02-18,iOS
C00086,United Kingdom,2026-06-18,Android
C00087,United Kingdom,2026-04-19,Android
C00088,Tunisia,2026-01-14,iOS
C00089,Germany,2026-04-14,iOS
