order_id,customer_id,order_timestamp,product_id,quantity,unit_price,currency
O000001,C00229,2026-03-17T08:32:00,P005,4,85.02,GBP
O000002,C00371,2026-04-18T16:29:00,P001,1,79.35,GBP
O000003,C00594,2026-06-11T23:46:00,P001,3,77.55,GBP
O000004,C00503,2026-03-15T06:36:00,P005,4,88.33,GBP
O000005,C00035,2026-03-23T08:53:00,P004,2,37.22,GBP
O000006,C00616,2026-03-04T02:35:00,P004,1,33.25,GBP
O000007,C00605,2026-03-29T09:14:00,P004,4,37.75,GBP
O000008,C00765,2026-03-03T22:33:00,P001,4,84.07,GBP
O000009,C00547,2026-02-01T01:59:00,P002,1,144.91,GBP
O000010,C00140,2026-05-31T06:00:00,P004,4,37.36,GBP
O000011,C00131,2026-03-22T09:17:00,P004,1,36.93,GBP
O000012,C00703,2026-01-09T19:14:00,P003,3,25.07,GBP
O000013,C00015,2026-01-24T10:01:00,P004,3,32.35,GBP
O000014,C00623,2026-04-30T00:26:00,P001,1,72.4,GBP
O000015,C00990,2026-01-09T15:23:00,P002,3,150.56,GBP
O000016,C00264,2026-04-11T15:03:00,P002,4,153.91,GBP
O000017,C00290,2026-03-04T13:43:00,P005,1,85.17,GBP
O000018,C00568,2026-06-04T09:25:00,P001,3,75.36,GBP
O000019,C00970,2026-05-28T12:54:00,P004,2,31.96,GBP
O000020,C00147,2026-01-28T06:51:00,P001,2,77.59,GBP
O000021,C00955,2026-06-19T18:29:00,P003,2,25.76,GBP
O000022,C00368,2026-06-11T02:18:00,P001,1,73.38,GBP
O000023,C00202,2026-04-01T20:31:00,P003,1,26.79,GBP
O000024,C00592,2026-03-17T05:40:00,P005,2,86.08,GBP
O000025,C00322,2026-05-25T15:18:00,P005,1,92.24,GBP
O000026,C00747,2026-06-24T07:47:00,P002,4,142.4,GBP
O000027,C00696,2026-04-18T15:58:00,P004,1,37.46,GBP
O000028,C00648,2026-04-10T05:38:00,P005,3,91.38,GBP
O000029,C00918,2026-01-19T06:53:00,P003,2,22.57,GBP
O000030,C00578,2026-06-06T16:03:00,P005,4,84.91,GBP
O000031,C00294,2026-03-16T22:50:00,P002,1,135.63,GBP
O000032,C00523,2026-02-20T13:54:00,P002,2,139.82,GBP
O000033,C00649,2026-06-09T23:21:00,P004,2,36.43,GBP
O000034,C00395,2026-04-08T08:16:00,P005,1,83.99,GBP
O000035,C00484,2026-02-01T11:53:00,P003,3,25.29,GBP
O000036,C00121,2026-02-26T07:37:00,P001,4,73.23,GBP
O000037,C00522,2026-04-17T01:55:00,P003,4,24.68,GBP
O000038,C00416,2026-04-26T16:50:00,P001,2,81.48,GBP
O000039,C00782,2026-01-09T07:46:00,P001,4,86.74,GBP
O000040,C00328,2026-04-23T09:12:00,P001,2,77.71,GBP
O000041,C00244,2026-06-23T00:26:00,P002,4,147.52,GBP
O000042,C00449,2026-05-06T18:05:00,P004,2,32.27,GBP
O000043,C00273,2026-06-02T16:06:00,P002,3,146.33,GBP
O000044,C00769,2026-04-30T02:11:00,P002,3,162.69,GBP
O000045,C00591,2026-04-17T16:16:00,P003,1,25.98,GBP
O000046,C00712,2026-03-21T10:47:00,P002,2,148.57,GBP
O000047,C00364,2026-04-24T10:15:00,P003,2,25.88,GBP
O000048,C00877,2026-03-24T04:45:00,P004,1,36.07,GBP
O000049,C00725,2026-01-29T17:46:00,P003,1,27.23,GBP
O000050,C00839,2026-01-29T10:44:00,P004,2,34.82,GBP
O000051,C00807,2026-03-01T18:32:00,P003,4,22.86,GBP
O000052,C00439,2026-03-15T14:21:00,P004,3,38.44,GBP
O000053,C00062,2026-06-19T14:07:00,P005,2,81.16,GBP
O000054,C00517,2026-02-23T02:18:00,P005,4,85.01,GBP
O000055,C00332,2026-06-29T02:03:00,P002,3,157.77,GBP
O000056,C00522,2026-04-20T01:45:00,P002,3,162.64,GBP
O000057,C00765,2026-03-30T12:51:00,P002,2,155.63,GBP
O000058,C00797,2026-05-19T19:43:00,P002,3,142.32,GBP
O000059,C00142,2026-03-13T10:57:00,P004,1,31.87,GBP
O000060,C00325,2026-03-28T16:03:00,P005,2,97.88,GBP
O000061,C00413,2026-02-19T18:16:00,P005,2,81.13,GBP
O000062,C00824,2026-02-12T09:11:00,P002,4,148.91,GBP
O000063,C00113,2026-06-20T17:55:00,P004,4,36.9,GBP
O000064,C00594,2026-04-29T08:33:00,P004,2,34.42,GBP
O000065,C00976,2026-02-25T21:35:00,P004,3,31.66,GBP
O000066,C00668,2026-03-13T16:01:00,P005,2,94.62,GBP
O000067,C00424,2026-05-15T03:16:00,P005,2,98.82,GBP
O000068,C00941,2026-02-01T20:50:00,P002,3,140.36,GBP
O000069,C00093,2026-02-14T23:57:00,P002,1,139.18,GBP
O000070,C00888,2026-04-11T06:19:00,P003,3,23.69,GBP
O000071,C00889,2026-01-25T17:07:00,P003,3,23.86,GBP
O000072,C00285,2026-01-17T18:24:00,P005,2,83.95,GBP
O000073,C00088,2026-03-08T00:07:00,P001,3,86.24,GBP
O000074,C00412,2026-02-27T00:57:00,P002,2,162.13,GBP
O000075,C00518,2026-02-08T14:42:00,P004,3,32.83,GBP
O000076,C00892,2026-06-06T00:18:00,P003,4,27.41,GBP
O000077,C00369,2026-04-24T03:25:00,P004,4,37.29,GBP
O000078,C00670,2026-02-05T03:09:00,P002,3,139.42,GBP
O000079,C00062,2026-05-15T14:15:00,P002,4,160.5,GBP
O000080,C00929,2026-05-18T10:42:00,P004,2,33.54,GBP
O000081,C00306,2026-04-23T13:11:00,P001,2,82.95,GBP
O000082,C00216,2026-01-06T19:40:00,P002,4,160.52,GBP
O000083,C00182,2026-05-14T20:24:00,P003,2,24.47,GBP
O000084,C00403,2026-02-23T02:39:00,P004,1,32.91,GBP
O000085,C00873,2026-05-22T10:01:00,P004,4,31.78,GBP
O000086,C00162,2026-04-11T05:11:00,P005,2,94.84,GBP
O000087,C00968,2026-02-23T23:55:00,P004,1,33.67,GBP
O000088,C00528,2026-03-14T22:47:00,P004,1,33.46,GBP
O000089,C00647,2026-01-24T14:47:00,P002,2,142.61,GBP
O000090,C00880,2026-06-24T01:10:00,P002,1,163.27,GBP
O000091,C00731,2026-06-26T03:20:00,P004,4,34.37,GBP
O000092,C00442,2026-02-15T04:54:00,P005,3,85.92,GBP
O000093,C00314,2026-01-19T09:54:00,P001,3,80.52,GBP
O000094,C00465,2026-06-07T12:54:00,P002,3,139.88,GBP
O000095,C00078,2026-01-27T21:38:00,P001,4,80.17,GBP
O000096,C00082,2026-01-10T13:03:00,P004,1,36.72,GBP
O000097,C00188,2026-04-10T00:12:00,P003,1,24.58,GBP
O000098,C00653,2026-01-27T15:05:00,P003,3,25.55,GBP
O000099,C00205,2026-05-11T21:38:00,P005,4,82.9,GBP
O000100,C00913,2026-02-04T10:39:00,P003,1,22.85,GBP
O000101,C00427,2026-04-10T21:23:00,P004,3,35.31,GBP
O000102,C00328,2026-05-01T07:32:00,P002,4,162.26,GBP
O000103,C00358,2026-01-15T06:03:00,P003,2,23.26,GBP
O000104,C00793,2026-05-15T19:31:00,P002,3,145.39,GBP
O000105,C00868,2026-01-04T15:43:00,P001,1,84.79,GBP
O000106,C00704,2026-04-29T05:51:00,P005,1,90.27,GBP
O000107,C00173,2026-03-04T22:34:00,P001,1,87.84,GBP
O000108,C00861,2026-04-19T14:48:00,P004,3,32.15,GBP
O000109,C00240,2026-02-26T22:25:00,P002,4,158.28,GBP
O000110,C00783,2026-01-21T08:41:00,P004,3,35.51,GBP
O000111,C00366,2026-03-07T02:15:00,P002,2,151.88,GBP
O000112,C00300,2026-05-29T06:04:00,P002,2,135.16,GBP
O000113,C00520,2026-06-21T18:44:00,P001,2,77.69,GBP
O000114,C00049,2026-05-11T20:01:00,P003,4,23.18,GBP
O000115,C00894,2026-04-11T18:41:00,P001,2,73.91,GBP
O000116,C00428,2026-06-05T14:40:00,P002,1,145.02,GBP
O000117,C00872,2026-03-25T01:56:00,P004,2,36.65,GBP
O000118,C00286,2026-06-03T02:09:00,P002,3,161.61,GBP
O000119,C00245,2026-01-14T08:25:00,P002,2,145.95,GBP
O000120,C00499,2026-03-06T20:29:00,P004,2,37.19,GBP
O000121,C00575,2026-02-28T17:15:00,P003,2,23.97,GBP
O000122,C00494,2026-06-14T13:24:00,P003,3,23.77,GBP
O000123,C00159,2026-05-24T12:09:00,P005,2,81.34,GBP
O000124,C00027,2026-05-14T14:01:00,P003,3,26.6,GBP
O000125,C00570,2026-04-16T22:22:00,P002,1,159.87,GBP
O000126,C00528,2026-03-23T00:41:00,P003,3,27.36,GBP
O000127,C00960,2026-06-21T17:26:00,P004,3,36.12,GBP
O000128,C00599,2026-01-08T10:45:00,P001,2,80.9,GBP
O000129,C00478,2026-05-05T05:48:00,P001,1,72.94,GBP
O000130,C00495,2026-03-06T09:51:00,P003,2,24.84,GBP
O000131,C00582,2026-01-28T23:36:00,P001,4,79.54,GBP
O000132,C00963,2026-03-06T00:20:00,P001,3,75.2,GBP
O000133,C00366,2026-04-11T18:01:00,P005,4,93.37,GBP
O000134,C00338,2026-06-22T16:36:00,P002,3,149.36,GBP
O000135,C00614,2026-04-07T13:49:00,P004,4,38.11,GBP
O000136,C00139,2026-02-26T13:26:00,P004,3,36.6,GBP
O000137,C00872,2026-05-01T08:59:00,P001,1,74.36,GBP
O000138,C00557,2026-01-01T06:35:00,P004,2,35.11,GBP
O000139,C00514,2026-06-13T05:15:00,P003,2,26.69,GBP
O000140,C00810,2026-05-17T23:09:00,P005,1,92.24,GBP
